,NBAC_nfireid,WFS event,area,dice_coefficient,NFDB_fireid
97,,1027,282289.36416140356,0.08125639763892381,23BN-BNIR02
98,655.0,1030,113229.40071612189,0.0003440886617686073,
99,,1030,113229.40071612189,0.0002752802130167264,23LX-BOLDING
100,641.0,1044,487263.44174399023,0.00155918677704743,
101,641.0,1051,180535.73142158243,0.0017414768300428307,
102,660.0,1057,12476794.588255484,0.7850907376844467,
103,,1057,12476794.588255484,0.7868602099103092,23LX-CENTIPEDE
104,670.0,1062,282289.3642321313,0.02034615531798682,
105,,1062,282289.3642321313,0.01901035409559233,23BN-AARON
106,625.0,1072,112926.64392395828,0.0023947812637555685,
107,,1072,112926.64392395828,0.002369252221927683,23DB-KPIR02
108,670.0,1074,113229.40039500817,0.009194854334675056,
109,,1074,113229.40039500817,0.00898849695356993,23BN-AARON
110,655.0,1075,209786.39486665974,0.0010531889164619788,
111,,1075,209786.39486665974,0.0009460693961091862,23LX-BOLDING
112,628.0,1131,644832079.6408118,0.8520464285165649,
113,,1131,644832079.6408118,0.9101920905305059,23LA-KENNY
114,634.0,1141,11902187.562049879,0.6912993118792976,
115,,1141,11902187.562049879,0.7400670468278849,23LA-GOW
116,990.0,1161,752156.9385429567,0.73868948966646,
117,,1161,752156.9385429567,0.7386894896618293,23LF-GRASSY
118,637.0,1205,231117964.07004505,0.7958043879010318,
119,,1205,231117964.07004505,0.8498710785336132,23LA-WAPA
120,606.0,1228,446352.5724692129,6.682063797305373e-05,
121,,1228,446352.5724692129,0.00018420360897969973,23SR-RIACH
122,640.0,1232,13945249.723031893,0.7133502779346599,
123,,1232,13945249.723031893,0.751706021500164,23LA-SUTTLE
124,991.0,1249,948919.4152273972,0.6486627910154105,
125,,1249,948919.4152273972,0.6486627910156416,23LA-PINK
126,650.0,1285,60826815.85421531,0.8147217987758145,
127,,1285,60826815.85421531,0.9094025290405219,23LA-BLACK
128,647.0,1331,69345937.52615109,0.7345299669762898,
129,,1331,69345937.52615109,0.12463562211462954,23LA-ISLAND
130,,1331,69345937.52615109,0.7662076321084629,23LA-SHADD
131,663.0,1360,5316031.015715816,0.5168508673655057,
132,,1360,5316031.015715816,0.5708137564859292,23SR-MCCRADY
133,619.0,1371,20239349.07133207,0.760066688829325,
134,,1371,20239349.07133207,0.651345404994733,23SR-KILLOCK
135,,1371,20239349.07133207,0.3260414254204157,23SR-MANSON
136,610.0,1372,10835844.450826826,0.7333333641284742,
137,,1372,10835844.450826826,0.71613152686536,23SR-ANDERSON
138,649.0,1376,46764801.64294796,0.7779756489014772,
139,,1376,46764801.64294796,0.7981945772226707,23LX-TIMSON
140,612.0,1382,4021137.0324327643,0.7544684019172603,
141,,1382,4021137.0324327643,0.7743620925281502,23SR-KINGSTON
142,630.0,1387,881322.184074587,0.017354407740450876,
143,610.0,1402,280153.10693006864,0.036653234724503346,
144,,1402,280153.10693006864,0.03574987966012686,23SR-ANDERSON
145,610.0,1405,282289.36415829865,0.012430704543016254,
146,,1405,282289.36415829865,0.013153301004651948,23SR-ANDERSON
147,612.0,1406,76087.08985571211,0.02789932840207601,
148,,1406,76087.08985571211,0.027172440644065647,23SR-KINGSTON
149,610.0,1409,113229.40035795436,0.006480093840290223,
150,,1409,113229.40035795436,0.009708227766881981,23SR-ANDERSON
151,994.0,1412,2168378.45351716,0.5783723886052309,
152,,1412,2168378.45351716,0.5783723886017552,23DB-LIME
153,610.0,1414,179671.0683618571,0.02210085707373462,
154,,1414,179671.0683618571,0.022944647659433638,23SR-ANDERSON
155,638.0,1418,34038496.51947451,0.8068309853752537,
156,,1418,34038496.51947451,0.8460901658190874,23LA-HEPBURN
157,1022.0,1421,352177.7967415924,0.7038621661238538,
158,,1421,352177.7967415924,0.7038621661232081,23DN-PAWR01
159,627.0,1426,1246742.3871218604,0.6444130715290172,
160,,1426,1246742.3871218604,0.6383611580505382,23LA-MAY
161,630.0,1429,79460.2378554088,0.00039668436436968645,
162,647.0,1430,282289.3641132779,0.010168784099621249,
163,,1430,282289.3641132779,0.011566987530619662,23LA-SHADD
164,647.0,1431,113229.40039506367,0.002489913268996387,
165,,1431,113229.40039506367,0.003064859029182207,23LA-SHADD
166,999.0,1467,1034246.836316102,0.6525053368098064,
167,,1467,1034246.836316102,0.6525053368096889,23BN-DIGBY
168,999.0,1468,282289.36423219857,0.07477551064393614,
169,,1468,282289.36423219857,0.0747755106447841,23BN-DIGBY
170,661.0,1473,106165.46213274026,0.0006116547388796379,
171,,1473,106165.46213274026,0.00018847675574668708,23BN-SHAD
172,54.0,1474,98287125.06109047,0.8557966852032185,
173,,1474,98287125.06109047,0.8912596411352643,23SR-DORRELL
174,997.0,1485,113229.40045791012,0.26280640766027064,
175,,1485,113229.40045791012,0.26280640763974317,23DB-TWIGGE
176,661.0,1492,109103.77894574082,0.0006323824397416675,
177,,1492,109103.77894574082,0.00023633514637838192,23BN-SHAD
178,350.0,1503,113229.40045508252,0.00019703129160673636,
179,,1503,113229.40045508252,0.0001200385383943936,23LX-SHAW
180,661.0,1505,207708698.07263184,0.5357911693115276,
181,,1505,207708698.07263184,0.5816418963695769,23BN-SHAD
182,661.0,1508,65640.91738363962,0.0003819554311372482,
183,,1508,65640.91738363962,0.00013977484656948813,23BN-SHAD
184,1003.0,1524,230409.43512059172,0.07657283972776158,
185,,1524,230409.43512059172,0.07657283972621708,23HB-SUGGI
